Time On Sample,Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
10.8,2.428761383,0.040515102,21326.52127,1.62154644,35.54691294
10.9,2.89341255,0.040856848,19845.50219,1.721776458,35.35729534
11,2.971560076,0.041227776,18196.40796,1.848589153,35.07940643
11.1,2.889287807,0.041610817,17603.24373,1.898704131,34.96389154
11.2,3.036424156,0.041976537,17175.85248,1.936617224,34.88324965
11.3,3.092960726,0.042349097,17126.32461,1.941846619,34.8832497
11.4,3.073027755,0.042727431,17279.2336,1.929644709,34.94536606
11.5,2.819530212,0.0431234,18049.07664,1.867763579,35.20145948
11.6,3.143710171,0.043475752,18918.68137,1.802832022,35.47281053
11.7,3.004916937,0.043863061,20204.50396,1.715239739,35.84659812
11.8,2.851162272,0.044251499,21935.20059,1.6115235,36.31083649
11.9,2.710706658,0.044638933,24087.43693,1.500834748,36.84808821
12,3.094732343,0.044986767,26576.50849,1.392760734,37.41040568
12.1,2.960926253,0.045373698,29990.35964,1.2716132,38.12855778
12.2,2.612672978,0.045776822,32326.51297,1.202759546,38.61350098
12.3,2.706613125,0.046146558,34499.00449,1.146979401,39.08318794
12.4,2.741538737,0.046520751,37059.90599,1.091199251,39.71524951
12.5,2.837141266,0.046890361,38263.27188,1.069410136,40.09666589
12.6,2.818870677,0.04726857,39066.27024,1.058079791,40.45192822
12.7,2.655141725,0.047657761,39353.57597,1.062873388,40.91180684
12.8,2.898696189,0.048016201,39023.46774,1.079433138,41.1984147
12.9,2.984324432,0.048386565,38540.36114,1.100786485,41.48175254
13,3.085745298,0.048755736,37969.25023,1.125626093,41.78688608
13.1,3.001810646,0.049138902,37364.08924,1.150029905,42.02227403
13.2,2.889615512,0.049524202,36479.92738,1.187071406,42.36772838
13.3,2.817317531,0.04990649,35925.02792,1.211039437,42.58241095
13.4,2.833956949,0.050282062,35462.79745,1.232392779,42.79818379
13.5,2.774126827,0.050663409,34835.66217,1.262461764,43.10549607
13.6,2.987758431,0.051024108,34496.58964,1.280328863,43.31364114
13.7,3.076711437,0.05139422,34066.72943,1.305168471,43.62858209
13.8,2.858123898,0.051787553,33846.96822,1.319113492,43.83454671
13.9,2.875594507,0.052163063,33607.72387,1.335673228,44.10916632
14,3.059303249,0.052526021,33464.66976,1.347439371,44.33692694
14.1,3.051006947,0.052903476,33370.41303,1.357462368,44.567956
14.2,3.248845933,0.053265367,33312.28715,1.36530647,44.78699872
14.3,2.971243854,0.053663156,33271.86987,1.375765226,45.13681119
14.4,3.205655228,0.054022285,33261.79052,1.381866202,45.3547641
14.5,2.957144823,0.054417878,33280.36066,1.38709557,45.58797229
14.6,3.346157665,0.054765334,33267.06338,1.393632343,45.81464364
14.7,2.63550525,0.05519582,33256.47,1.402783711,46.15246783
14.8,3.199068125,0.055530097,33248.07886,1.408884717,46.3736907
14.9,3.061937269,0.05591728,33306.05692,1.414114095,46.66683609
15,2.949742134,0.05630258,33357.28049,1.417600346,46.88587784
15.1,2.930640354,0.056680851,33468.17313,1.419343474,47.12344554
15.2,3.062815275,0.0570477,33563.87064,1.421958182,47.3566551
15.3,2.948957759,0.057433125,33618.40429,1.426315997,47.58223497
15.4,2.975571466,0.057807944,33688.72266,1.43328852,47.91679202
15.5,3.241568088,0.058164689,33696.08463,1.4393895,48.13147524
15.6,2.958978863,0.058562854,33759.4933,1.443311517,48.35160682
15.7,2.590777006,0.058967484,33819.7443,1.44984822,48.66436701
15.8,3.101143679,0.059305778,33847.16285,1.454641876,48.86379456
15.9,3.300645049,0.059667543,33800.05563,1.463357545,49.08501653
16,2.880078171,0.060076126,33761.11132,1.472073155,49.30841677
16.1,3.283221255,0.060422515,33681.85703,1.481660409,49.49803584
16.2,3.726261505,0.060765892,33636.42596,1.489504537,49.67893758
16.3,3.072545628,0.061192078,33615.95356,1.499527472,49.95682481
16.4,3.416258583,0.061542955,33621.0598,1.505192678,50.14971356
16.5,3.433313598,0.061918495,33645.896,1.509986288,50.34369092
16.6,3.378470618,0.062299464,33667.50662,1.514779891,50.53657872
16.7,3.569660085,0.062661857,33850.86505,1.516087258,50.8428018
16.8,3.308681811,0.06305839,34076.59908,1.513036756,51.06184344
16.9,3.61416,0.063412153,34360.42853,1.508243179,51.30159138
17,3.59505822,0.063790423,34732.27364,1.500399094,51.57076264
17.1,3.307897437,0.064188933,35085.1104,1.492554982,51.80723969
17.2,3.374408299,0.064560739,35536.34854,1.484275122,52.17340003
17.3,3.501180487,0.064927996,35785.6791,1.480788875,52.41205773
17.4,3.608004099,0.065296758,36050.12899,1.476866844,52.64199774
17.5,3.43222287,0.065686858,36398.09557,1.470765873,52.89482171
17.6,3.531565766,0.066056185,36800.78369,1.466408059,53.25989227
17.7,3.873200757,0.066407218,36929.83702,1.468151222,53.47457577
17.8,3.468426483,0.066814608,36986.74006,1.472509009,53.69034775
17.9,3.343347888,0.06720088,37025.74727,1.477738388,53.9137481
18,3.558641887,0.067561452,37074.14822,1.483403582,54.15240671
18.1,3.715336944,0.067926449,37069.73081,1.49255503,54.43792422
18.2,3.782263403,0.068298223,37184.27195,1.49473395,54.64497936
18.3,3.630586402,0.068688391,37449.65799,1.493208697,54.92232281
18.4,3.877465954,0.06904469,37703.1765,1.491683484,55.20075779
18.5,3.525887884,0.069448064,37855.2751,1.49168345,55.41652924
18.6,4.017968401,0.069787737,38116.60431,1.489286695,55.69278535
18.7,3.457761457,0.070206863,38530.39952,1.482096231,56.00282054
18.8,3.503492553,0.070580238,38849.96419,1.476431064,56.2327606
18.9,3.553379602,0.070953299,39234.782,1.469894332,56.52154717
19,3.538433775,0.071331255,39586.86698,1.464664942,56.81578293
19.1,3.763702067,0.071691074,40082.92408,1.456820879,57.2080972
19.2,3.609947389,0.072079511,40265.08388,1.456385083,57.44893439
19.3,3.629911572,0.072454831,40387.35612,1.457692433,57.68214294
19.4,4.011443426,0.072804739,40535.94041,1.461614513,58.04285535
19.5,3.481990836,0.073219655,40621.47483,1.464229158,58.25535699
19.6,3.656140898,0.073583333,40672.18092,1.467715436,58.46241227
19.7,3.730548075,0.073954543,40730.21146,1.473816398,58.79369972
19.8,4.000700671,0.074310972,40850.13852,1.475123773,59.01928128
19.9,3.383972756,0.074734366,41039.17742,1.474687932,59.27864242
20,4.004887838,0.075064311,41243.94686,1.47425221,59.5619824
20.1,3.882302809,0.075450394,41426.3187,1.473816416,59.81807559
20.2,3.728963724,0.075838799,41831.4172,1.468587013,60.20929978
20.3,3.808773641,0.076209601,42114.60995,1.464664979,60.46866275
20.4,3.77180126,0.07658922,42461.69337,1.458999804,60.75091125
20.5,3.856182726,0.076959676,42923.70496,1.452027292,61.14540459
20.6,3.969655869,0.077327936,43298.23953,1.445490566,61.40912758
20.7,3.528724789,0.077738055,43837.35067,1.437210659,61.83195315
20.8,3.710771166,0.078101137,44051.89804,1.435903329,62.09458668
20.9,3.767723337,0.078473665,44269.79181,1.436339118,62.43350187
21,3.893248146,0.07884479,44399.57536,1.438518043,62.707033
21.1,3.574086509,0.079245715,44459.31969,1.442875839,62.97075374
21.2,3.803095463,0.079603364,44485.64081,1.449412597,63.27697768
